epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.076,2.10723,2.55283,1.02212,0.85179,0.68635,0.76187,0.37245,1.80961,1.35136,0.96292,0.000665823,0.000665823,0.000665823
2,280.425,1.89182,1.68165,0.97445,0.70971,0.71079,0.72344,0.36849,1.74327,1.17704,0.96942,0.00120057,0.00120057,0.00120057
3,417.157,1.76758,1.33046,0.96275,0.88164,0.72822,0.79575,0.4413,1.57793,0.95497,0.93553,0.00160332,0.00160332,0.00160332
4,554.479,1.67358,1.15816,0.93589,0.90395,0.76667,0.85402,0.52131,1.41225,0.85141,0.92122,0.001406,0.001406,0.001406
5,692.006,1.5506,1.01749,0.91362,0.90867,0.8308,0.87038,0.53303,1.37012,0.78628,0.89448,0.001208,0.001208,0.001208
6,829.17,1.5284,0.91177,0.8971,0.9198,0.84521,0.87939,0.51717,1.39026,0.7222,0.88078,0.00101,0.00101,0.00101
7,967.105,1.44827,0.8665,0.88531,0.929,0.85743,0.90288,0.59422,1.20383,0.65553,0.85595,0.000812,0.000812,0.000812
8,1104.91,1.3797,0.7869,0.87195,0.92584,0.84725,0.89272,0.6018,1.16713,0.61523,0.84944,0.000614,0.000614,0.000614
9,1257.67,1.32466,0.73313,0.86293,0.95363,0.8554,0.89575,0.57831,1.20183,0.59732,0.83974,0.000416,0.000416,0.000416
10,1396.45,1.27535,0.71536,0.84719,0.97235,0.8596,0.91435,0.62785,1.08974,0.54758,0.83301,0.000218,0.000218,0.000218
