epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.438,1.34757,3.99411,1.06671,0.32076,0.23085,0.20128,0.13934,1.12326,2.40269,0.97514,8.32521e-05,8.32521e-05,8.32521e-05
2,372.92,1.1429,2.13262,0.99848,0.54572,0.55303,0.57004,0.40964,1.04714,1.33695,0.97263,0.000150093,0.000150093,0.000150093
3,550.769,1.09556,1.46606,0.99528,0.7238,0.75163,0.7814,0.5582,1.04536,1.0037,0.97729,0.000200435,0.000200435,0.000200435
4,728.788,1.0491,1.18091,0.98893,0.84309,0.78235,0.86171,0.62886,1.00721,0.89844,0.96949,0.00017575,0.00017575,0.00017575
5,906.033,1.02696,1.05405,0.98168,0.91531,0.83864,0.90993,0.66869,0.98882,0.74678,0.96291,0.000151,0.000151,0.000151
6,1083.54,1.0054,0.9452,0.973,0.93841,0.85764,0.92567,0.67946,0.97651,0.71243,0.95903,0.00012625,0.00012625,0.00012625
7,1260.79,0.98069,0.8871,0.97047,0.94719,0.86406,0.93099,0.68852,0.95509,0.67267,0.94905,0.0001015,0.0001015,0.0001015
8,1439.47,0.97989,0.86102,0.9632,0.92204,0.8728,0.93689,0.69363,0.94932,0.65999,0.94838,7.675e-05,7.675e-05,7.675e-05
9,1617.71,0.95666,0.82239,0.95436,0.92253,0.88585,0.94054,0.69847,0.94373,0.64435,0.9456,5.2e-05,5.2e-05,5.2e-05
10,1796.2,0.9476,0.80123,0.95706,0.92177,0.88939,0.93956,0.70019,0.94305,0.63849,0.94668,2.725e-05,2.725e-05,2.725e-05
